"03f916dd-829c-4e6c-bf2e-c0387967b4bd","{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Definiëren\",\"_event\":{\"name\":\"Definiëren\",\"data\":{\"type\":\"Definiëren\",\"parentID\":\"\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:7\",\"event\":\"\",\"historyValue\":{\"current\":\"Definiëren\",\"states\":{}},\"history\":{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Opp\",\"_event\":{\"name\":\"xstate.init\",\"data\":{\"type\":\"xstate.init\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:7\",\"event\":{\"type\":\"xstate.init\"},\"children\":{},\"done\":false,\"tags\":[]},\"children\":{},\"done\":false,\"changed\":true,\"tags\":[]}","{\"id\":\"Opp\",\"initial\":\"Opp\",\"states\":{\"Opp\":{\"on\":{\"Definiëren\":{\"target\":\"Definiëren\"}}},\"Definiëren\":{\"on\":{\"Specificeren\":{\"target\":\"Specificeren\"},\"Parkeren\":{\"target\":\"Parkeren\"}}},\"Specificeren\":{\"on\":{\"Ontwikkelen\":{\"target\":\"Ontwikkelen\"}}},\"Ontwikkelen\":{\"on\":{\"gebruiken\":{\"target\":\"Gebruiken\"},\"Parkeren\":{\"target\":\"Parkeren\"}}},\"Gebruiken\":{\"on\":{\"Parkeren\":{\"target\":\"Parkeren\"}}},\"Parkeren\":{\"on\":{\"Definiëren\":{\"target\":\"Definiëren\"}}}}}"
"a8e857b0-bb07-43b6-ae4c-ca7e43b3f7ab","{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"available\",\"context\":{\"parentID\":\"6c87d060-4eec-4c08-9572-476c4a04e12d\"},\"_event\":{\"name\":\"CHECKIN\",\"data\":{\"type\":\"CHECKIN\",\"parentID\":\"6c87d060-4eec-4c08-9572-476c4a04e12d\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:1\",\"event\":\"\",\"historyValue\":{\"current\":\"available\",\"states\":{}},\"history\":{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"checkedOut\",\"context\":{\"parentID\":\"6c87d060-4eec-4c08-9572-476c4a04e12d\"},\"_event\":{\"name\":\"CHECKOUT\",\"data\":{\"type\":\"CHECKOUT\",\"parentID\":\"6c87d060-4eec-4c08-9572-476c4a04e12d\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:1\",\"event\":{\"type\":\"CHECKOUT\",\"parentID\":\"6c87d060-4eec-4c08-9572-476c4a04e12d\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"historyValue\":{\"current\":\"checkedOut\",\"states\":{}},\"children\":{},\"done\":false,\"tags\":[]},\"children\":{},\"done\":false,\"changed\":true,\"tags\":[]}","{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"6c87d060-4eec-4c08-9572-476c4a04e12d\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"ba9a9536-2428-4d4c-9c7e-e691247bb726",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"3e9ee348-1fa8-426f-8466-9b265bb0375c\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"bbb73c17-ed76-4e98-89cd-76bcc4408951",\N,"{\"id\":\"user-invitation\",\"context\":{\"parentID\":\"0b1dd765-dd27-41ec-8149-5c9055c4c7c5\"},\"initial\":\"invited\",\"states\":{\"invited\":{\"on\":{\"ACCEPT\":{\"target\":\"accepted\",\"cond\":\"communityInvitationAcceptAuthorized\"},\"REJECT\":{\"target\":\"rejected\",\"cond\":\"communityUpdateAuthorized\"}}},\"accepted\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REINVITE\":{\"target\":\"invited\",\"cond\":\"communityUpdateAuthorized\"},\"ARCHIVE\":{\"target\":\"archived\",\"cond\":\"communityUpdateAuthorized\"}}},\"archived\":{\"type\":\"final\"}}}"
"bbecd908-595c-41d5-9d2b-e62eda1af604",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"3d3cf06e-34ec-4227-a5d3-b14e6c0b095b\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"c33fdcec-0db0-4866-875d-d6219bc1bea8","{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Voorbereiden\",\"_event\":{\"name\":\"Event\",\"data\":{\"type\":\"Event\",\"parentID\":\"\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:6\",\"event\":\"\",\"historyValue\":{\"current\":\"Voorbereiden\",\"states\":{}},\"history\":{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Exploreren\",\"_event\":{\"name\":\"xstate.init\",\"data\":{\"type\":\"xstate.init\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:6\",\"event\":{\"type\":\"xstate.init\"},\"children\":{},\"done\":false,\"tags\":[]},\"children\":{},\"done\":false,\"changed\":true,\"tags\":[]}","{\"id\":\"NewMachine\",\"initial\":\"Exploreren\",\"states\":{\"Exploreren\":{\"on\":{\"Event\":{\"target\":\"Voorbereiden\"}}},\"Voorbereiden\":{\"on\":{\"Event2\":{\"target\":\"BegrijpenenOntwerpen\"}}},\"BegrijpenenOntwerpen\":{\"on\":{\"Event2\":{\"target\":\"Valideren\"}}},\"Valideren\":{\"on\":{\"Event2\":{\"target\":\"Implementeren\"}}},\"Implementeren\":{\"on\":{\"Event2\":{\"target\":\"Afronden\"}}},\"Afronden\":{}}}"
"c3f1f54e-4ba7-4d3d-bf20-6430ce9dacfe",\N,"{\"id\":\"user-invitation\",\"context\":{\"parentID\":\"57b0c465-1300-4542-9ad5-1cb2a1d5c0d0\"},\"initial\":\"invited\",\"states\":{\"invited\":{\"on\":{\"ACCEPT\":{\"target\":\"accepted\",\"cond\":\"communityInvitationAcceptAuthorized\"},\"REJECT\":{\"target\":\"rejected\",\"cond\":\"communityUpdateAuthorized\"}}},\"accepted\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REINVITE\":{\"target\":\"invited\",\"cond\":\"communityUpdateAuthorized\"},\"ARCHIVE\":{\"target\":\"archived\",\"cond\":\"communityUpdateAuthorized\"}}},\"archived\":{\"type\":\"final\"}}}"
"cc02bc3e-b32d-49fe-84c2-e0877e50d694",\N,"{\"id\":\"user-invitation\",\"context\":{\"parentID\":\"8dd53c41-f9c0-4c93-b1cb-c1eb4f1a4d2c\"},\"initial\":\"invited\",\"states\":{\"invited\":{\"on\":{\"ACCEPT\":{\"target\":\"accepted\",\"cond\":\"communityInvitationAcceptAuthorized\"},\"REJECT\":{\"target\":\"rejected\",\"cond\":\"communityUpdateAuthorized\"}}},\"accepted\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REINVITE\":{\"target\":\"invited\",\"cond\":\"communityUpdateAuthorized\"},\"ARCHIVE\":{\"target\":\"archived\",\"cond\":\"communityUpdateAuthorized\"}}},\"archived\":{\"type\":\"final\"}}}"
"d4fba9f4-3b26-456e-8da2-0803c6fcb176",\N,"{\"id\":\"user-invitation\",\"context\":{\"parentID\":\"ec67db1a-61d0-4a89-929b-a20f88dbadb2\"},\"initial\":\"invited\",\"states\":{\"invited\":{\"on\":{\"ACCEPT\":{\"target\":\"accepted\",\"cond\":\"communityInvitationAcceptAuthorized\"},\"REJECT\":{\"target\":\"rejected\",\"cond\":\"communityUpdateAuthorized\"}}},\"accepted\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REINVITE\":{\"target\":\"invited\",\"cond\":\"communityUpdateAuthorized\"},\"ARCHIVE\":{\"target\":\"archived\",\"cond\":\"communityUpdateAuthorized\"}}},\"archived\":{\"type\":\"final\"}}}"
"e4dccc6a-88b2-4eb4-8e00-b00792b72516",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"f2665e88-9a89-48d2-b9de-553f8cd06eed\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"e5ca201a-edc8-4370-8697-0846eff9100e","{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"beingRefined\",\"context\":{},\"_event\":{\"name\":\"REFINE\",\"data\":{\"type\":\"REFINE\",\"parentID\":\"\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:10\",\"event\":\"\",\"historyValue\":{\"current\":\"beingRefined\",\"states\":{}},\"history\":{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"new\",\"context\":{},\"_event\":{\"name\":\"xstate.init\",\"data\":{\"type\":\"xstate.init\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:10\",\"event\":{\"type\":\"xstate.init\"},\"children\":{},\"done\":false,\"tags\":[]},\"children\":{},\"done\":false,\"changed\":true,\"tags\":[]}","{\"id\":\"opportunity-innovationFlow-default\",\"context\":{},\"initial\":\"new\",\"states\":{\"new\":{\"on\":{\"REFINE\":\"beingRefined\",\"ABANDONED\":\"abandoned\"}},\"beingRefined\":{\"on\":{\"ACTIVE\":\"inProgress\",\"ABANDONED\":\"abandoned\"}},\"inProgress\":{\"entry\":[\"sampleEvent\"],\"on\":{\"COMPLETED\":\"complete\",\"ABANDONED\":\"abandoned\"}},\"complete\":{\"on\":{\"ARCHIVE\":\"archived\",\"ABANDONED\":\"archived\"}},\"abandoned\":{\"on\":{\"REOPEN\":\"inProgress\",\"ARCHIVE\":\"archived\"}},\"archived\":{\"type\":\"final\"}}}"
"e6dabd4b-7767-4e4c-a9a0-58fb809050e4",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"48920c3b-89bf-4fa3-92e9-13f158795bc6\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"e719bb89-ccb4-4f37-9d13-ba94e0675223",\N,"{\"id\":\"user-application\",\"context\":{\"parentID\":\"05785afc-330c-4da2-be8d-b66eae6be2fe\"},\"initial\":\"new\",\"states\":{\"new\":{\"on\":{\"APPROVE\":{\"target\":\"approved\",\"cond\":\"communityUpdateAuthorized\"},\"REJECT\":\"rejected\"}},\"approved\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REOPEN\":\"new\",\"ARCHIVE\":\"archived\"}},\"archived\":{\"type\":\"final\"}}}"
"f122cfda-cdb1-4cc3-bf63-68548c5bba7e",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"3902314f-b378-4932-9885-ebdc97158de3\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"f669925e-33f0-4df4-8df1-414fe009bf7c",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"df56ae0b-7a96-400f-ac34-3470ff9a4c3d\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"f971f2fb-df11-4fc6-b0ca-87e57ccdb07c",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"7ec02add-a077-4089-8952-8635ec915b11\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"fbb4a4bb-140e-4b35-bd48-e027677b6dd6",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"04121e49-f1e0-470d-9c52-c23dec3b46da\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"fc0886e8-c32d-4c97-ad7c-26e18207b4a8",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"b08d4978-3679-416a-8cb1-2001506f4a79\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"fca5b35e-1067-4dd1-8413-bd7209b91e74",\N,"{\"id\":\"organization-verification\",\"context\":{\"parentID\":\"6036ad07-d5ca-4381-9daf-e0b246bd137b\"},\"initial\":\"notVerified\",\"states\":{\"notVerified\":{\"on\":{\"VERIFICATION_REQUEST\":{\"target\":\"verificationPending\",\"cond\":\"organizationVerificationUpdateAuthorized\"}}},\"verificationPending\":{\"on\":{\"MANUALLY_VERIFY\":{\"target\":\"manuallyVerified\",\"cond\":\"organizationVerificationGrantAuthorized\"},\"REJECT\":\"rejected\"}},\"manuallyVerified\":{\"entry\":[\"organizationManuallyVerified\"],\"data\":{},\"on\":{\"RESET\":{\"target\":\"notVerified\",\"cond\":\"organizationVerificationGrantAuthorized\"}}},\"rejected\":{\"on\":{\"REOPEN\":\"notVerified\",\"ARCHIVE\":\"archived\"}},\"archived\":{\"type\":\"final\"}}}"
